,MODEL,C,Epsilon,Kernel,R2_fold1,R2_fold2,R2_fold3,R2_fold4,R2_fold5
0,SVR,0,0.0,lineal,0.0,0.0,0.0,0.0,0.0
1,SVR,5,0.1,linear,-0.05284721854625407,-0.04678922172010891,-0.06847733811811785,-0.08137120802807396,-0.056681651708494485
2,SVR,5,0.2,linear,-0.04896414703089569,-0.03579835332699188,-0.06816544684070625,-0.0808765296466687,-0.055114180740166274
3,SVR,5,0.3,linear,-0.04352485181219223,-0.035040853229895585,-0.06798716890922907,-0.07946612234835237,-0.050785410831635236
4,SVR,5,0.4,linear,-0.036488322919295824,-0.027980988550737163,-0.06426540572340134,-0.07836337067900345,-0.04680379170219151
5,SVR,5,0.5,linear,-0.030350557095074837,-0.022058711031610168,-0.06387699776851163,-0.07424011680093456,-0.041513849363076005
6,SVR,10,0.1,linear,0.08745916919469798,0.09458973130285053,0.057236849748556695,0.036084555445993205,0.06392543928596872
7,SVR,10,0.2,linear,0.08782567933354124,0.09507101349461011,0.057618297523206685,0.03644587731156279,0.06474568543185732
8,SVR,10,0.3,linear,0.0882285537426144,0.09647335677798041,0.05830531120667137,0.037388378280391876,0.06552132428655266
9,SVR,10,0.4,linear,0.08938530660913258,0.09862945839783033,0.05873234397321625,0.038936015177706396,0.06629611331102392
10,SVR,10,0.5,linear,0.09189099049808025,0.10431295246384142,0.06012234729077637,0.03955240138616012,0.0697609771667197
11,SVR,15,0.1,linear,-2.722501302410422,-2.6024903328701283,0.20249860615335835,-2.2387258622045736,-2.570232294481066
12,SVR,15,0.2,linear,-2.7207005788495717,-2.6032745807476294,0.20308101440207993,-2.2355472444755073,-2.5647387811696847
13,SVR,15,0.3,linear,-2.7200579796083924,-2.5991931909502934,0.20392335635635672,-2.2228274540497606,-2.561776567891258
14,SVR,15,0.4,linear,-2.720754658906095,-2.5933475545423894,0.2043284632863155,-2.2165740783764085,-2.5598963173274494
15,SVR,15,0.5,linear,-2.7173146983966547,-2.6313270049393007,0.2090732611491789,-2.2136846912584347,-2.5588185401607864
16,SVR,20,0.1,linear,-2.8961505754383423,-2.471177563261033,-2.4238128719577947,-2.422356170039926,-2.8711087830872954
17,SVR,20,0.2,linear,-2.8942329631910737,-2.4678597516365075,-2.4190848959440285,-2.4187761156499605,-2.8705198768639817
18,SVR,20,0.3,linear,-2.8929908046665864,-2.506800404726766,-2.4151111822954476,-2.4158956594301486,-2.864874101151531
19,SVR,20,0.4,linear,-2.891573935870698,-2.4658541973849553,-2.4117548019651647,-2.4129916234159543,-2.8624119530521392
20,SVR,20,0.5,linear,-2.8855589729506543,-2.5044399044068126,-2.4135953348846857,-2.4124764818819298,-2.9094337807546657
21,SVR,25,0.1,linear,-2.826240094925788,-2.68602369178426,-2.704014905865579,-2.27856969267441,-2.6879598236880096
22,SVR,25,0.2,linear,-2.8223258900946537,-2.6808409137792393,-2.697963719779807,-2.274423042187153,-2.6863975882100495
23,SVR,25,0.3,linear,-2.8208245983497773,-2.6791470697203783,-2.6962498724961885,-2.2699874132388684,-2.6797032345465506
24,SVR,25,0.4,linear,-2.819107514194906,-2.6757285289643313,-2.6941885099884963,-2.2655722700723833,-2.6710056548352274
25,SVR,25,0.5,linear,-2.816620354794248,-2.6717046073058164,-2.6948128235236646,-2.264751435565092,-2.6694986251684787
26,SVR,30,0.1,linear,-2.569098139775708,-2.569659158410294,-2.540372506245781,-2.102424504725654,-2.5310838590792115
27,SVR,30,0.2,linear,-2.5658988949476993,-2.56279733468364,-2.5355731532521966,-2.0947138728818366,-2.5279141227024207
28,SVR,30,0.3,linear,-2.5641901770784665,-2.5597545752874016,-2.5334887685965084,-2.08726753742504,-2.52170121329615
29,SVR,30,0.4,linear,-2.56321256238246,-2.556734447093686,-2.530731683102056,-2.0825659040932356,-2.5182580592576285
30,SVR,30,0.5,linear,-2.559318142021383,-2.5513725861284606,-2.52743248959811,-2.0804319567383893,-2.515326035594159
31,SVR,35,0.1,linear,-2.4452002391607763,-2.3967262793477038,-2.359831003025569,-1.9427102282721553,-2.3840068524703546
32,SVR,35,0.2,linear,-2.4404415684470075,-2.391383503974798,-2.355471210762416,-1.9357979266265732,-2.3824295898125114
33,SVR,35,0.3,linear,-2.437731194824208,-2.38888408224262,-2.3531296532908956,-1.9302173390594008,-2.375355281545953
34,SVR,35,0.4,linear,-2.435221154504689,-2.3854761416920085,-2.3500262092696644,-1.92526967669941,-2.3737908624606257
35,SVR,35,0.5,linear,-2.4307461967744026,-2.379384462795906,-2.3377810411203868,-1.9231719110524073,-2.3678282090113507
36,SVR,40,0.1,linear,-2.24741689608713,-2.2168496527874852,-2.1923509980151374,-1.7771449286230903,-2.1264409577874477
37,SVR,40,0.2,linear,-2.2414881195282543,-2.2122541019701285,-2.1868961027677987,-1.769926766421726,-2.1234890189121445
38,SVR,40,0.3,linear,-2.2385081351593445,-2.208956936067014,-2.183457853341466,-1.7619039372733636,-2.1146037726141578
39,SVR,40,0.4,linear,-2.235749899795253,-2.205195240837031,-2.1813408952681597,-1.7574920782203862,-2.1129102437658336
40,SVR,40,0.5,linear,-2.2298660440297544,-2.199998768110247,-2.175582775010622,-1.753987266159041,-2.107513933071774
41,SVR,45,0.1,linear,-2.0483942987823167,-2.037838103491388,-1.992965900713525,-1.6247990990054064,-1.9545136764558277
42,SVR,45,0.2,linear,-2.0409341407743953,-2.0301342427116804,-2.0023541986258904,-1.618772371308173,-1.952922498675136
43,SVR,45,0.3,linear,-2.038471062430063,-2.0260217877265516,-1.9961653372637858,-1.610283737853584,-1.9448907136500933
44,SVR,45,0.4,linear,-2.0347325079785326,-2.0276804186712765,-1.9921873740770106,-1.607463662517144,-1.9397312886831766
45,SVR,45,0.5,linear,-2.0270854521192505,-2.020887239871998,-1.9897792204724776,-1.5993044855145437,-1.9337712258829485
46,SVR,50,0.1,linear,-1.9186806302483594,-1.8842361354329524,-1.8852209113686857,-1.4767333526058932,-1.79579053294127
47,SVR,50,0.2,linear,-1.9141863411795765,-1.8773406315685306,-1.878870502477966,-1.4690779967148067,-1.7883464248000451
48,SVR,50,0.3,linear,-1.91152840292838,-1.873090220951295,-1.8750692496568004,-1.4609429555924356,-1.7805197677893707
49,SVR,50,0.4,linear,-1.9074873935438923,-1.8708892179531613,-1.8678692127804326,-1.4862351389869426,-1.7767651751133058
50,SVR,50,0.5,linear,-1.9030397308759994,-1.8616432296767007,-1.8631031044101536,-1.4821564389078317,-1.7718426735127295
51,SVR,55,0.1,linear,-1.699838231197203,-1.8131082430057335,-1.6769535252087344,-1.3587436648329696,-1.6402362874269967
52,SVR,55,0.2,linear,-1.6956779160772397,-1.8065344866314725,-1.6723007679578847,-1.3524120173527798,-1.6342877925534331
